ds,yhat
2019-07-28,747239.7527495552
2019-07-29,618229.9508657807
2019-07-30,604810.900411023
2019-07-31,614874.5160094884
2019-08-01,612765.8132893451
2019-08-02,613134.273145358
2019-08-03,788550.7478603381
