date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,source_file
1/2/2020,6:30 AM,75,94,0,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,7:00 AM,75,94,2,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,7:30 AM,77,94,3,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,8:00 AM,79,83,3,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,8:30 AM,82,74,8,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,9:00 AM,84,70,10,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,9:30 AM,84,70,15,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,10:00 AM,88,62,17,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,10:30 AM,88,62,18,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,11:00 AM,86,66,17,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,11:30 AM,88,62,17,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,12:30 PM,88,58,18,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,1:00 PM,90,59,20,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,1:30 PM,90,59,20,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,2:00 PM,90,59,18,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,2:30 PM,88,62,22,29.76,Partly Cloudy / Windy,songkhla_weather_2020.csv
1/2/2020,3:00 PM,88,58,20,29.76,Fair,songkhla_weather_2020.csv
1/2/2020,3:30 PM,88,62,18,29.76,Fair,songkhla_weather_2020.csv
1/2/2020,4:00 PM,86,62,20,29.76,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,4:30 PM,86,66,17,29.76,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,5:00 PM,84,66,17,29.76,Fair,songkhla_weather_2020.csv
1/2/2020,5:30 PM,84,70,13,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,6:00 PM,82,74,15,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,6:30 PM,81,79,10,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,7:00 PM,81,79,10,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,7:30 PM,81,84,8,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,8:00 PM,81,84,3,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,8:30 PM,81,84,2,29.85,Light Rain,songkhla_weather_2020.csv
1/2/2020,9:00 PM,79,89,5,29.85,Mostly Cloudy,songkhla_weather_2020.csv
