ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ,วันเวลาเกิด,Unnamed: 39
2020,1/4/2020,11:30:00,4/8/2020,1:04 PM,3796479,กรมทางหลวง,ทางหลวง,43,จะนะ - ปาแด,48.25,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.946555928,100.8501014,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-04 11:30:00,
2020,1/6/2020,10:30:00,2/14/2020,4:12 PM,3789985,กรมทางหลวง,ทางหลวง,408,ทุ่งหวัง - นาทวี,183.0,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,7.045269095,100.6546569,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2020-01-06 10:30:00,
2020,1/6/2020,14:30:00,3/27/2020,10:38 AM,3795121,กรมทางหลวง,ทางหลวง,414,คลองวง - ท่าท้อน,19.5,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,7.030811781,100.4495993,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2020-01-06 14:30:00,
2020,1/7/2020,4:30:00,3/27/2020,10:09 AM,3795108,กรมทางหลวง,ทางหลวง,414,คลองวง - ท่าท้อน,17.8,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,7.040187391,100.4617631,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-07 04:30:00,
2020,1/7/2020,13:40:00,1/10/2020,3:08 PM,3786864,กรมทางหลวง,ทางหลวง,43,หาดใหญ่ - นาหม่อม,2.65,สงขลา,รถปิคอัพโดยสาร,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.967695861,100.5025783,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,14,18,2020-01-07 13:40:00,
2020,1/8/2020,0:20:00,3/27/2020,10:35 AM,3795126,กรมทางหลวง,ทางหลวง,43,นาหม่อม - จะนะ,23.625,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.982642336,100.6710988,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-08 00:20:00,
2020,1/9/2020,16:50:00,3/30/2020,12:08 PM,3795376,กรมทางหลวง,ทางหลวง,406,ปากจ่า - ค่ายรวมมิตร,37.1,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,7.065496866,100.1817405,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2020-01-09 16:50:00,
2020,1/11/2020,16:30:00,2/14/2020,4:04 PM,3789987,กรมทางหลวง,ทางหลวง,43,นาหม่อม - จะนะ,24.62,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.980762738,100.6798026,5,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-01-11 16:30:00,
2020,1/11/2020,17:50:00,4/2/2020,2:26 PM,3796155,กรมทางหลวง,ทางหลวง,43,จะนะ - ปาแด,60.95,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,6.884954505,100.9411946,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2020-01-11 17:50:00,
2020,1/14/2020,17:00:00,4/7/2020,1:19 PM,3796439,กรมทางหลวง,ทางหลวง,43,นาหม่อม - จะนะ,21.635,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,6.986326966,100.6536752,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2020-01-14 17:00:00,
