ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
35,100,ดาวคะนอง -  แสมดำ,6+500,142557 ,41140 ,288 ,164 ,545 ,43902 ,10958 ,7178 ,3364 ,1827 ,251923 ,9.541,13,4545,ธนบุรี,กรุงเทพมหานคร
34,101,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,3+904,116678 ,25615 ,1375 ,26 ,11608 ,32131 ,3403 ,5041 ,8826 ,0 ,204703 ,14.12,10,18703,สมุทรปราการ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,108048 ,24599 ,1498 ,2934 ,8320 ,41874 ,6129 ,2849 ,909 ,862 ,198022 ,11.111,235,12095,ปทุมธานี,ปทุมธานี
9,201,คลองมหาสวัสดิ์ - คลองบางไผ่,36+594,99327 ,18595 ,0 ,0 ,5362 ,25972 ,4863 ,8304 ,8129 ,2574 ,173126 ,16.885,0,0,นนทบุรี,นนทบุรี
346,102,สะพานคลองเปรม - สะพานข้ามแม่น้ำเจ้าพระยาปทุมธานี,1+800,91077 ,8017 ,6319 ,6340 ,6264 ,7094 ,6262 ,6855 ,5903 ,4360 ,148491 ,24.233,0,49702,ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,85746 ,38515 ,3302 ,5779 ,10714 ,51939 ,20276 ,3301 ,2110 ,1227 ,222909 ,19.473,69,13854,ปทุมธานี,พระนครศรีอยุธยา
1141,100,ดอนจั่น - เชียงใหม่,7+000,83098 ,4985 ,3459 ,96 ,3205 ,5102 ,3615 ,134 ,64 ,54 ,103812 ,6.905,298,22870,เชียงใหม่ที่ 2,เชียงใหม่
9,201,คลองมหาสวัสดิ์ - คลองบางไผ่,40+800,77412 ,15711 ,0 ,0 ,4966 ,30541 ,4303 ,4031 ,3901 ,2189 ,143054 ,13.554,0,0,นนทบุรี,นนทบุรี
9,402,แขวงรามอินทรา - บางพลี,59+500,70977 ,12481 ,0 ,0 ,292 ,14035 ,3844 ,4489 ,481 ,4284 ,110883 ,12.076,0,0,พิเศษระหว่างเมือง,กรุงเทพมหานคร
9,202,คลองบางไผ่ - คลองบางหลวง,47+744,69949 ,27479 ,0 ,0 ,8267 ,10924 ,7680 ,5117 ,4208 ,4103 ,137727 ,21.328,0,0,นนทบุรี,นนทบุรี
7,103,แขวงคลองสองต้นนุ่น - พิมพา,17+000,67498 ,34323 ,0 ,4643 ,1529 ,47068 ,27876 ,20132 ,3231 ,8842 ,215142 ,30.795,0,0,พิเศษระหว่างเมือง,กรุงเทพมหานคร
302,202,สะพานพระนั่งเกล้า - ต่างระดับบางใหญ่,12+500,63663 ,9603 ,1671 ,1375 ,2907 ,13342 ,2566 ,1259 ,806 ,673 ,97865 ,9.795,37,11699,นนทบุรี,นนทบุรี
7,103,แขวงคลองสองต้นนุ่น - พิมพา,25+900,57200 ,57781 ,0 ,1684 ,4837 ,46184 ,12102 ,6360 ,9890 ,9865 ,205903 ,21.728,0,0,พิเศษระหว่างเมือง,สมุทรปราการ
338,101,อรุณอมรินทร์ - พุทธมณฑลสาย 4,9+281,55743 ,31368 ,0 ,0 ,3587 ,48780 ,1292 ,1277 ,1296 ,0 ,143343 ,5.199,0,18100,ธนบุรี,กรุงเทพมหานคร
301,100,คลองบางเขน -  ติวานนท์,5+075,55630 ,36955 ,1317 ,1346 ,1969 ,16761 ,812 ,22 ,0 ,0 ,114812 ,3.614,0,23921,นนทบุรี,นนทบุรี
34,102,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,15+100,51812 ,33254 ,357 ,6459 ,6692 ,58380 ,13781 ,12475 ,11555 ,12613 ,207378 ,30.657,0,2888,สมุทรปราการ,สมุทรปราการ
302,201,แยกพงษ์เพชร - สะพานพระนั่งเกล้า,5+822,50520 ,48034 ,930 ,847 ,1585 ,3942 ,1812 ,0 ,0 ,0 ,107670 ,3.942,0,26598,นนทบุรี,นนทบุรี
338,101,อรุณอมรินทร์ - พุทธมณฑลสาย 4,0+000,50188 ,31058 ,895 ,946 ,3552 ,21854 ,237 ,169 ,39 ,0 ,108938 ,4.537,0,24233,ธนบุรี,กรุงเทพมหานคร
306,101,พระราม 7 - แคราย,1+000,48546 ,33254 ,2357 ,1925 ,4254 ,1570 ,597 ,0 ,0 ,0 ,92503 ,7.325,0,18548,นนทบุรี,กรุงเทพมหานคร
3902,201,คลองมหาสวัสดิ์ - คลองบางไผ่,35+322,47849 ,15953 ,3397 ,0 ,1861 ,16710 ,3994 ,3663 ,238 ,0 ,93665 ,10.416,34,10123,นนทบุรี,นนทบุรี
2,301,นครราชสีมา - ดอนหวาย,148+657,47485 ,19750 ,1361 ,311 ,1187 ,31197 ,229 ,76 ,9 ,15 ,101620 ,1.798,15,21975,นครราชสีมาที่ 1,นครราชสีมา
3902,201,คลองมหาสวัสดิ์ - คลองบางไผ่,39+528,46834 ,13620 ,2644 ,0 ,2796 ,16464 ,5660 ,4040 ,0 ,354 ,92412 ,13.905,68,9747,นนทบุรี,นนทบุรี
9,102,บางแค - คลองมหาสวัสดิ์,20+430,46094 ,45273 ,185 ,193 ,271 ,47847 ,5817 ,4816 ,2513 ,4164 ,157173 ,11.309,0,0,ธนบุรี,กรุงเทพมหานคร
