ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง(ไม่เกิน7คน),รถยนต์นั่ง(เกิน7คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก(4ล้อ),รถบรรทุกขนาด2เพลา(6ล้อ),รถบรรทุกขนาด3เพลา(10ล้อ),รถบรรทุกพ่วง(มากกว่า3เพลา),รถบรรทุกกึ่งพ่วง(มากกว่า3เพลา),รวม,%ของยานยนต์หนัก,จักรยาน2ล้อและจักรยาน3ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
3208,102,น้ำพุ-เหมืองผาปกค้างคาว,51+823,2167,1398,1,22,3,2658,83,117,3,90,6542,4.861,20,2382,ขท.ราชบุรี,ราชบุรี
3209,101,ท่ามะกา-กลอนโด,0+500,4640,1955,44,0,1,3824,255,200,162,112,11193,6.522,18,3523,ขท.กาญจนบุรี,กาญจนบุรี
3209,101,ท่ามะกา-กลอนโด,18+000,648,221,44,3,17,884,139,195,144,75,2370,24.177,16,663,ขท.กาญจนบุรี,กาญจนบุรี
3209,101,ท่ามะกา-กลอนโด,29+300,777,427,0,0,1,2709,182,185,144,25,4450,12.067,5,1306,ขท.กาญจนบุรี,กาญจนบุรี
3209,101,ท่ามะกา-กลอนโด,44+750,1070,471,3,3,3,424,80,119,148,62,2383,17.415,8,528,ขท.กาญจนบุรี,กาญจนบุรี
3209,102,กลอนโด-กาญจนบุรี,59+450,2139,86,7,7,0,1372,93,115,145,24,3988,9.629,0,779,ขท.กาญจนบุรี,กาญจนบุรี
3209,102,กลอนโด-กาญจนบุรี,80+484,2998,1414,59,20,68,1606,119,308,135,105,6832,11.051,23,1455,ขท.กาญจนบุรี,กาญจนบุรี
3210,100,พังงอน-จางวาง,0+500,33,71,0,0,0,966,19,14,4,12,1119,4.379,8,462,ขท.จันทบุรี,จันทบุรี
3211,100,ทางเข้าหันคา-กะบกเตี้ย,0+600,1704,540,0,0,0,313,124,129,114,20,2944,13.145,0,376,ขท.ชัยนาท,ชัยนาท
3211,100,ทางเข้าหันคา-กะบกเตี้ย,8+378,747,673,0,0,0,1670,183,199,185,175,3832,19.363,7,1506,ขท.ชัยนาท,ชัยนาท
3211,100,ทางเข้าหันคา-กะบกเตี้ย,11+472,596,176,0,0,0,1828,58,41,24,6,2729,4.727,0,1283,ขท.ชัยนาท,ชัยนาท
3211,200,กะบกเตี้ย-แยกหูช้าง,57+172,894,297,0,0,0,1208,64,45,42,9,2559,6.252,2,1216,ขท.อุทัยธานี,อุทัยธานี
3212,100,คุ้งสำเภา-ไร่พัฒนา,2+200,1240,436,0,37,0,1963,284,208,179,95,4442,18.077,22,822,ขท.ชัยนาท,ชัยนาท
3212,200,ไร่พัฒนา-หนองโพ,23+200,676,144,0,0,0,2098,59,39,89,12,3117,6.384,18,1589,ขท.นครสวรรค์ที่2(ตากฟ้า),นครสวรรค์
3213,100,วัดสิงห์-บ้านโคก,5+000,1442,1556,40,0,15,377,148,77,29,11,3695,7.578,0,1218,ขท.ชัยนาท,ชัยนาท
3213,200,บ้านโคก-แยกเขาตะพาบ,37+000,563,214,194,164,168,584,216,238,206,174,2721,42.852,181,673,ขท.อุทัยธานี,อุทัยธานี
3214,100,บ้านพร้าว-คลองห้า,0+650,29642,30513,984,1144,1001,2365,1948,1247,568,344,69756,8.963,225,1610,ขท.ปทุมธานี,ปทุมธานี
3214,100,บ้านพร้าว-คลองห้า,8+300,20043,20577,3103,2277,2267,3161,2206,1664,1399,1169,57866,18.978,123,6429,ขท.ปทุมธานี,ปทุมธานี
3215,102,บางบัวทอง-ไทรน้อย,14+705,14758,5727,1343,530,539,14198,2887,2129,2124,2805,47040,23.414,2454,6395,ขท.นนทบุรี,นนทบุรี
3217,100,กุยบุรี-ยางชุม,0+500,1553,151,96,21,5,2170,84,81,29,22,4212,5.745,123,2205,ขท.ประจวบคีรีขันธ์(หัวหิน),ประจวบคีรีขันธ์
3218,100,หัวหิน-โป่งแย้,3+000,4412,1274,17,48,22,1298,30,25,15,13,7154,2.139,27,1693,ขท.ประจวบคีรีขันธ์(หัวหิน),ประจวบคีรีขันธ์
3218,100,หัวหิน-โป่งแย้,14+558,3137,1595,42,93,7,1274,186,83,21,46,6484,6.724,0,1288,ขท.ประจวบคีรีขันธ์(หัวหิน),ประจวบคีรีขันธ์
