datetime,เกิดเหตุ,temperature_F,humidity_%,wind_speed_kmh,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2021-01-01,0,79.1475,85.2725,6.2089583333333325,29.721875,95.0,467.0,82.0,4,0,1
2021-01-02,0,80.49395833333334,81.65104166666667,8.491666666666667,29.765208333333334,95.0,517.0,87.0,5,1,0
2021-01-03,0,82.465625,76.46854166666667,5.19,29.761041666666667,92.0,501.0,89.0,6,1,0
2021-01-04,0,82.145625,87.89541666666668,2.8083333333333336,29.615416666666665,87.0,412.0,99.0,0,0,0
2021-01-05,0,81.88770833333334,85.28208333333333,3.740625,29.713333333333335,82.0,386.0,101.0,1,0,0
2021-01-06,0,81.501875,93.5625,2.74,29.653958333333335,84.0,345.0,102.0,2,0,0
2021-01-07,0,81.69333333333334,85.93729166666667,1.5091666666666665,29.693749999999998,80.0,335.0,103.0,3,0,0
2021-01-08,0,81.20166666666667,85.10645833333334,5.600208333333334,29.705624999999998,88.0,369.0,97.0,4,0,0
2021-01-09,0,80.63291666666667,89.594375,2.0533333333333332,29.70583333333333,92.0,501.0,85.0,5,1,1
2021-01-10,0,81.79916666666666,85.43541666666665,3.5297916666666667,29.699583333333333,93.0,503.0,91.0,6,1,0
2021-01-11,0,81.063125,87.40270833333334,1.5941666666666665,29.743958333333335,92.0,388.0,102.0,0,0,0
2021-01-12,0,79.13833333333334,93.895625,2.9075,29.676875,90.0,394.0,102.0,1,0,0
2021-01-13,0,77.79916666666666,84.74666666666667,6.545625,29.734791666666666,101.0,485.0,102.0,2,0,0
2021-01-14,0,77.69916666666667,87.83666666666666,4.536666666666666,29.726875000000003,94.0,434.0,101.0,3,0,0
2021-01-15,0,78.43333333333334,84.395,5.198125,29.68375,89.0,434.0,96.0,4,0,0
2021-01-16,0,80.81520833333333,79.66541666666667,6.559166666666666,29.691458333333333,86.0,505.0,99.0,5,1,0
2021-01-17,0,79.06979166666666,86.17750000000001,6.802291666666666,29.72666666666667,80.0,458.0,104.0,6,1,0
2021-01-18,0,78.63479166666666,81.095625,8.110416666666667,29.74416666666667,88.0,374.0,113.0,0,0,0
2021-01-19,0,79.39375,74.579375,6.948958333333334,29.724791666666665,83.0,365.0,114.0,1,0,0
2021-01-20,1,79.18520833333334,79.00729166666666,6.369583333333334,29.735208333333333,77.0,384.0,98.0,2,0,0
2021-01-21,0,78.77229166666667,82.369375,4.647916666666666,29.711041666666663,78.0,440.0,92.0,3,0,0
2021-01-22,0,79.31625,80.67395833333333,4.1075,29.698125,80.0,452.0,97.0,4,0,0
2021-01-23,0,80.32791666666667,82.66437499999999,4.550625,29.697083333333335,93.0,466.0,97.0,5,1,0
2021-01-24,0,80.600625,84.79166666666667,6.123125000000001,29.707291666666666,98.0,438.0,97.0,6,1,0
2021-01-25,0,80.54854166666667,80.14270833333333,6.5,29.709999999999997,88.0,395.0,104.0,0,0,0
2021-01-26,0,79.560625,80.60625,6.620625,29.69125,84.0,346.0,103.0,1,0,0
2021-01-27,0,80.28750000000001,83.00375,7.146041666666666,29.695833333333336,83.0,322.0,105.0,2,0,0
2021-01-28,0,81.51520833333333,80.49458333333332,7.8289583333333335,29.729166666666668,87.0,380.0,116.0,3,0,0
2021-01-29,1,80.23458333333333,78.068125,7.683541666666667,29.743750000000002,90.0,405.0,104.0,4,0,0
2021-01-30,0,79.54354166666667,77.02479166666667,7.920208333333334,29.746041666666667,93.0,420.0,93.0,5,1,0
