ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก (4 ล้อ),รถบรรทุกขนาด 2 เพลา (6ล้อ),รถบรรทุกขนาด 3 เพลา (10ล้อ),รถบรรทุกพ่วง (มากกว่า 3 เพลา),รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,% ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
4,1201,นาวง - ห้วยยอด,1076+665,2673,1263,15,13,12,4694,122,150,51,40,9033,4.295,1,2673,ตรัง,ตรัง
4,903,คลองบางดินสอ - นาเหนือ,874+208,2604,1576,69,85,103,2002,372,389,343,440,7983,21.696,62,1145,พังงา,พังงา
4,802,กระบุรี - หงาว,590+103,2603,1177,336,76,21,1927,325,316,90,72,6943,12.963,11,962,ระนอง,ระนอง
4,802,กระบุรี - หงาว,565+823,2147,1280,84,41,13,868,134,245,139,100,5051,13.304,6,1315,ระนอง,ระนอง
4,901,อ่าวเคย - บางนายสี,741+421,2112,218,95,71,48,987,133,123,79,42,3908,12.692,16,913,พังงา,พังงา
4,1001,บางสัก - ท้ายเหมือง,825+553,1950,1805,25,10,39,2337,147,70,51,34,6468,5.427,5,1630,ภูเก็ต,พังงา
4,901,อ่าวเคย - บางนายสี,711+821,1946,252,28,10,18,1002,126,158,81,40,3661,11.827,13,1357,พังงา,พังงา
4,901,อ่าวเคย - บางนายสี,762+021,1402,394,299,129,127,1116,249,286,207,141,4350,26.184,329,1079,พังงา,พังงา
4,801,เสียบญวณ - กระบุรี,528+103,1349,536,92,14,9,3670,250,210,115,86,6331,10.804,18,1320,ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,644+321,1299,620,52,9,26,2318,183,127,39,30,4703,8.803,34,1212,ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,675+021,785,536,24,13,27,921,114,67,69,53,2609,13.147,16,819,ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,691+821,531,264,13,9,29,1604,103,105,54,14,2726,11.519,13,920,ระนอง,ระนอง
4,903,คลองบางดินสอ - นาเหนือ,900+727,465,91,2,0,0,13,62,17,3,7,660,13.485,2,177,พังงา,พังงา
7,103,แขวงคลองสองต้นนุ่น - พิมพา,17+000,69555,35102,0,4618,1595,49695,28588,20131,3334,8283,220901,30.126,0,0,พิเศษระหว่างเมือง,กรุงเทพมหานคร
7,103,แขวงคลองสองต้นนุ่น - พิมพา,25+900,59498,53437,0,1681,4881,48312,10763,6581,9959,8488,203600,20.802,0,0,พิเศษระหว่างเมือง,สมุทรปราการ
7,105,หนองข้างคอก - ตะเคียนเตี้ย,89+344,26355,16247,22,12,421,14943,7262,7263,9126,19,81670,29.513,0,0,พิเศษระหว่างเมือง,ชลบุรี
7,104,พิมพา - หนองข้างคอก,67+900,25996,23941,7843,394,192,17987,9339,4122,3255,7348,100417,24.548,0,0,พิเศษระหว่างเมือง,ชลบุรี
7,104,พิมพา - หนองข้างคอก,45+400,21703,14243,7107,92,78,24840,9001,4532,4062,7029,92687,26.75,0,0,พิเศษระหว่างเมือง,ฉะเชิงเทรา
7,105,หนองข้างคอก - ตะเคียนเตี้ย,105+144,21304,15046,8,13,395,11844,6309,7109,7780,21,69829,30.971,0,0,พิเศษระหว่างเมือง,ชลบุรี
7,105,หนองข้างคอก - ตะเคียนเตี้ย,79+258,21093,13919,22,16,317,12684,8253,7070,8478,20,71872,33.607,0,0,พิเศษระหว่างเมือง,ชลบุรี
7,108,ทางต่างระดับคีรี - ทางต่างระดับหนองข้างคอก,2+000,16575,15044,11,8,129,15019,6836,5789,8061,20,67492,30.882,0,0,พิเศษระหว่างเมือง,ชลบุรี
7,109,ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง,4+000,10956,10506,10,4,35,11063,7359,5861,8592,14,54400,40.193,0,0,พิเศษระหว่างเมือง,ชลบุรี
7,106,ตะเคียนเตี้ย - พลา,123+000,10418,4058,55,50,163,1368,238,100,115,66,16631,4.401,0,0,พิเศษระหว่างเมือง,ชลบุรี
7,107,ทางต่างระดับบางควาย - ทางต่างระดับบางวัว,2+300,6617,3276,941,38,45,6727,2969,564,499,1800,23476,25.196,0,0,พิเศษระหว่างเมือง,ฉะเชิงเทรา
9,201,คลองมหาสวัสดิ์ - คลองบางไผ่,36+594,106742,19505,0,0,5474,21614,4161,9432,7746,1368,176042,16.008,0,0,นนทบุรี,นนทบุรี
9,201,คลองมหาสวัสดิ์ - คลองบางไผ่,40+800,93485,16525,0,0,5476,26697,4822,4899,4679,2751,159334,14.201,0,0,นนทบุรี,นนทบุรี
9,202,คลองบางไผ่ - คลองบางหลวง,47+744,72261,28464,0,0,8669,11383,8076,5280,4396,4209,142738,21.459,0,0,นนทบุรี,นนทบุรี
9,402,แขวงรามอินทรา - บางพลี,59+500,69434,13711,0,0,391,14723,3828,4135,590,4103,110915,11.763,0,0,พิเศษระหว่างเมือง,กรุงเทพมหานคร
9,102,บางแค - คลองมหาสวัสดิ์,20+430,49920,49215,243,248,291,44359,5819,4928,2603,3957,161583,11.044,0,0,ธนบุรี,กรุงเทพมหานคร
9,401,บางปะอิน - แขวงรามอินทรา,1+500,44663,21041,418,364,417,54741,9270,4094,6387,5475,146870,17.707,0,0,พิเศษระหว่างเมือง,พระนครศรีอยุธยา
9,401,บางปะอิน - แขวงรามอินทรา,20+500,43301,26087,392,385,369,49556,7059,5540,4321,3006,140016,14.77,0,0,พิเศษระหว่างเมือง,ปทุมธานี
9,301,คลองบางหลวง - ต่างระดับเชียงรากน้อย,78+099,13776,3839,3291,3571,3550,6514,9323,8469,8578,8187,69098,60.317,682,2699,ปทุมธานี,ปทุมธานี
9,301,คลองบางหลวง - ต่างระดับเชียงรากน้อย,64+069,13618,4307,3309,3536,4594,6823,8894,9392,9557,9626,73656,61.908,681,2535,ปทุมธานี,ปทุมธานี
11,900,อุโมงค์ - รินคำ,543+850,29639,11883,3194,2890,2776,7294,3989,3559,1951,2813,69988,25.687,718,5340,เชียงใหม่ที่ 2,เชียงใหม่
11,900,อุโมงค์ - รินคำ,551+500,21793,13582,2967,2894,2976,10102,4188,3649,2596,3031,67778,28.525,908,6657,เชียงใหม่ที่ 2,เชียงใหม่
11,800,ขุนตาน - อุโมงค์,532+949,11299,5855,462,212,635,5532,2405,1895,1359,979,30633,24.434,0,4216,ลำพูน,ลำพูน
11,800,ขุนตาน - อุโมงค์,526+949,9515,3734,414,237,477,5680,1640,1066,797,551,24111,19.775,0,4676,ลำพูน,ลำพูน
11,502,ชัยมงคล - บึงหลัก,316+698,8443,1711,106,33,76,2222,715,377,338,446,14467,13.721,29,1359,อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,701,ปางมะโอ - ป่าขาม,453+219,7770,477,60,43,56,8903,663,237,412,495,19116,9.971,13,2296,ลำปางที่ 1,ลำปาง
11,702,แยกภาคเหนือ - ขุนตาน,469+099,6888,797,88,26,121,5012,1304,1054,1254,768,17312,26.149,2,1918,ลำปางที่ 1,ลำปาง
11,403,บ้านป่า - นาอิน,236+235,4719,3187,32,34,463,6450,849,757,688,461,17640,18.435,10,1135,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
11,503,บึงหลัก - หนองน้ำเขียว,328+826,4091,1292,1,4,49,6881,564,262,316,375,13835,11.348,3,961,อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,501,นาอิน - ชัยมงคล,276+099,4041,3887,54,48,106,1806,1312,1245,1256,1279,15034,34.894,52,438,อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,401,สากเหล็ก - กกไม้แดง,186+983,3190,400,25,4,25,3350,296,187,310,166,7953,12.423,26,1705,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
11,402,กกไม้แดง - บ้านป่า,210+841,3034,2838,71,0,205,5633,485,870,657,189,13982,17.208,29,1894,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
11,701,ปางมะโอ - ป่าขาม,425+509,2965,269,21,59,57,3803,319,205,256,301,8255,14.5,1,165,ลำปางที่ 1,ลำปาง
11,601,หนองน้ำเขียว - ปางเคาะ,369+006,2603,1540,50,35,74,6093,502,374,317,261,11849,13.191,0,1917,แพร่,แพร่
11,601,หนองน้ำเขียว - ปางเคาะ,374+406,2583,686,54,56,77,596,384,497,354,161,5448,28.065,22,647,แพร่,แพร่
11,503,บึงหลัก - หนองน้ำเขียว,351+340,2390,639,247,5,60,4237,407,309,274,479,9047,16.956,0,180,อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,302,เขาทราย - สากเหล็ก,143+294,2139,623,14,9,24,2250,244,196,250,277,6026,16.595,6,981,พิจิตร,พิจิตร
11,201,ช่องแค - ตากฟ้า,16+800,1511,383,44,16,9,2731,170,414,390,376,6044,22.75,9,355,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,201,ช่องแค - ตากฟ้า,38+850,1450,718,10,9,11,2345,136,137,463,331,5610,19.376,5,569,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,301,หนองกลับ - เขาทราย,122+100,1333,1144,2,5,21,1061,290,157,145,84,4242,16.549,15,570,พิจิตร,พิจิตร
11,204,น้ำสาดเหนือ - หนองกลับ,99+500,1309,1152,15,19,27,1482,267,362,959,446,6038,34.448,12,676,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,602,ปางเคาะ - ปางมะโอ,412+009,1285,630,71,45,52,2598,284,122,83,95,5265,12.934,15,459,แพร่,แพร่
11,202,ตากฟ้า - ไดตาล,71+000,1121,404,12,0,14,2081,170,131,1275,463,5671,36.202,3,255,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,204,น้ำสาดเหนือ - หนองกลับ,111+650,697,758,0,0,0,2290,205,330,409,324,5013,25.294,1,343,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
12,402,พิษณุโลก - ร้องโพธิ์,232+609,36568,30442,320,143,168,16759,776,89,30,10,85305,1.425,57,18918,พิษณุโลกที่ 1,พิษณุโลก
12,801,บ้านฝาง - ขอนแก่น,545+249,23570,11861,635,525,372,568,834,687,561,494,40107,8.659,160,5190,ขอนแก่นที่ 1,ขอนแก่น
12,703,หนองแก - บ้านฝาง,532+149,9057,1176,164,96,64,9318,488,311,493,320,21487,8.247,19,2499,ขอนแก่นที่ 2 (ชุมแพ),ขอนแก่น
12,803,พรหมนิมิตร - ห้วยสีดา,584+354,7862,2475,48,38,41,8719,240,227,212,187,20049,4.713,54,5596,ขอนแก่นที่ 1,มหาสารคาม
12,302,เมืองเก่า - สุโขทัย,168+980,7849,1947,113,135,133,189,236,495,115,127,11339,10.945,213,5804,สุโขทัย,สุโขทัย
12,702,ร่องแซง - หนองแก,469+996,6671,4993,341,387,429,15430,1345,1363,1456,1352,33767,18.752,74,5713,ขอนแก่นที่ 2 (ชุมแพ),ขอนแก่น
12,401,บ้านกร่าง - พิษณุโลก,218+546,6462,7096,285,212,257,3079,812,512,424,401,19540,13.398,331,3509,พิษณุโลกที่ 1,พิษณุโลก
12,802,ขอนแก่น - พรหมนิมิตร,562+054,6141,5025,230,103,511,11551,400,346,279,256,24842,7.628,4,5860,ขอนแก่นที่ 1,ขอนแก่น
12,703,หนองแก - บ้านฝาง,508+049,6000,1613,115,75,99,13520,547,514,567,378,23428,9.305,81,2100,ขอนแก่นที่ 2 (ชุมแพ),ขอนแก่น
12,1100,ขุมขี้ยาง - มุกดาหาร,770+353,5891,3469,264,26,224,6423,41,31,12,6,16387,2.075,30,4423,มุกดาหาร,มุกดาหาร
12,702,ร่องแซง - หนองแก,472+549,5846,3698,209,205,192,24594,1293,1332,1344,1067,39780,13.658,68,5517,ขอนแก่นที่ 2 (ชุมแพ),ขอนแก่น
12,501,ร้องโพธิ์ - วังทอง,247+513,5774,5418,93,12,313,11953,756,944,659,140,26062,10.836,37,2562,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
12,901,ห้วยสีดา - ลำน้ำพาน,620+666,5538,9928,197,44,42,2489,1191,369,243,180,20221,10.232,37,1818,กาฬสินธุ์,กาฬสินธุ์
12,901,ห้วยสีดา - ลำน้ำพาน,599+554,4474,4841,42,39,36,6284,2944,1700,973,70,21403,26.921,36,2713,กาฬสินธุ์,กาฬสินธุ์
12,1100,ขุมขี้ยาง - มุกดาหาร,733+000,4244,3189,101,10,66,5127,112,112,151,148,13260,4.517,74,3138,มุกดาหาร,มุกดาหาร
12,100,กลางสะพานมิตรภาพที่แม่สอด(เขตแดนไทย/พม่า) - แม่ละเมา,10+015,3925,908,261,183,32,3555,631,322,379,438,10634,18.667,148,2289,ตากที่ 2 (แม่สอด),ตาก
12,303,สุโขทัย - บ้านกร่าง,184+769,3127,3256,231,92,92,343,375,137,146,140,7939,12.369,133,1609,สุโขทัย,สุโขทัย
12,401,บ้านกร่าง - พิษณุโลก,198+000,3096,3241,1395,1408,552,2080,742,707,707,593,14521,32.429,485,1550,พิษณุโลกที่ 1,สุโขทัย
12,502,วังทอง - เข็กน้อย,297+859,2856,3019,10,16,56,702,152,68,38,29,6946,5.168,1,347,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
12,601,เข็กน้อย - แยกอาเซียน,343+373,2814,810,39,9,19,2261,213,92,48,19,6324,6.325,7,674,เพชรบูรณ์ที่ 1,เพชรบูรณ์
12,602,แยกอาเซียน - น้ำดุก,357+943,2796,1464,21,19,7,6541,588,160,74,59,11729,7.733,18,2317,เพชรบูรณ์ที่ 1,เพชรบูรณ์
12,203,หนองเสือ - วังวน,151+480,2716,3959,697,606,748,2158,968,597,532,423,13404,28.902,217,1493,ตากที่ 1,สุโขทัย
12,601,เข็กน้อย - แยกอาเซียน,325+373,2401,961,38,11,19,3058,244,72,44,16,6864,5.915,14,1111,เพชรบูรณ์ที่ 1,เพชรบูรณ์
12,903,บ้านหลุบ - นาไคร้,647+300,2181,1660,0,0,22,350,358,240,147,106,5064,17.239,21,717,กาฬสินธุ์,กาฬสินธุ์
12,1000,นาไคร้ - ขุมขี้ยาง,707+000,1706,215,23,6,8,2294,125,120,229,132,4858,12.762,20,384,สกลนครที่ 1,กาฬสินธุ์
12,202,ตาก - หนองเสือ,114+630,1685,1037,16,9,8,1821,96,108,115,147,5042,9.58,8,1019,ตากที่ 1,ตาก
12,603,น้ำดุก - ห้วยซำมะคาว,409+043,1218,329,0,0,0,1370,174,16,6,41,3154,7.514,0,314,เพชรบูรณ์ที่ 1,เพชรบูรณ์
12,603,น้ำดุก - ห้วยซำมะคาว,383+989,1124,357,0,0,0,1201,161,16,7,41,2907,7.74,0,225,เพชรบูรณ์ที่ 1,เพชรบูรณ์
12,201,แม่ละเมา - ตาก,56+405,1062,2053,11,17,13,1716,345,177,258,608,6260,22.652,3,247,ตากที่ 1,ตาก
12,701,ห้วยซำมะคาว - ร่องแซง,436+385,956,692,3,6,8,2456,213,79,382,229,5024,18.252,6,557,ขอนแก่นที่ 2 (ชุมแพ),ชัยภูมิ
12,902,ลำน้ำพาน - บ้านหลุบ,630+016,655,761,67,66,88,477,132,92,94,89,2521,22.253,112,612,กาฬสินธุ์,กาฬสินธุ์
21,302,ม่วงค่อม - คลองกระจัง,72+000,9877,4257,856,951,898,3851,2853,2169,1875,1669,29256,35.6,2,3386,ลพบุรีที่ 2 (ลำนารายณ์),ลพบุรี
21,501,วังชมภู - บ้านโตก,204+000,7704,3758,105,16,330,2058,660,290,192,192,15305,10.977,154,3647,เพชรบูรณ์ที่ 1,เพชรบูรณ์
