ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก (4 ล้อ),รถบรรทุกขนาด 2 เพลา (6ล้อ),รถบรรทุกขนาด 3 เพลา (10ล้อ),รถบรรทุกพ่วง (มากกว่า 3 เพลา),รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,% ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1285,100,ทุ่งมะส้าน - ห้วยผึ้ง,0+500,405,7,17,0,2,194,9,9,0,0,643,3.11,10,360,แม่ฮ่องสอน,แม่ฮ่องสอน
1286,100,ตลิ่งชัน - เขาแม่แก่,0+500,529,430,0,0,0,1284,206,215,503,772,3939,43.057,2,1073,พิจิตร,พิจิตร
1287,100,สันมะเกลือ - เมืองปาน,5+700,1233,1133,376,333,315,1293,594,454,309,287,6327,36.226,482,1002,ลำปางที่ 2,ลำปาง
1288,100,หนองหลวง - เปิ่งเคลิ่ง,5+800,237,206,26,0,1,263,26,45,5,0,809,9.518,0,521,ตากที่ 2 (แม่สอด),ตาก
1289,101,วังสำโรง - บางลาย,1+000,1265,236,7,5,0,355,91,70,71,95,2195,15.125,24,1054,พิจิตร,พิจิตร
1290,101,แม่สาย - กิ่วกาญจน์,1+500,2091,787,362,229,253,3351,269,216,277,195,8030,17.92,405,1991,เชียงรายที่ 2,เชียงราย
1290,101,แม่สาย - กิ่วกาญจน์,36+255,1986,1190,257,241,396,3060,728,703,281,266,9108,28.711,364,1402,เชียงรายที่ 2,เชียงราย
1290,101,แม่สาย - กิ่วกาญจน์,64+704,1087,1006,238,224,221,3636,371,504,419,383,8089,26.233,465,1673,เชียงรายที่ 2,เชียงราย
1290,102,กิ่วกาญจน์ - เชียงของ,78+160,696,846,77,55,41,3734,297,328,390,178,6642,19.407,250,634,เชียงรายที่ 2,เชียงราย
1292,200,พวงพยอม - แม่ลอยไร่,36+279,2477,2480,54,60,48,2775,171,184,150,145,8544,8.872,212,2029,เชียงรายที่ 2,เชียงราย
1292,100,ห้วยข้าวก่ำ - น้ำจุน,4+000,599,175,0,0,0,958,70,16,39,2,1859,6.832,51,716,พะเยา,พะเยา
1293,100,สุโขทัย - ท่าฉนวน,3+725,2377,687,37,53,24,213,159,67,49,52,3718,10.866,43,2375,สุโขทัย,สุโขทัย
1293,200,ท่าฉนวน - บางระกำ,53+000,802,295,0,0,0,1782,137,124,126,446,3712,22.441,34,749,พิษณุโลกที่ 1,พิษณุโลก
1294,100,เมืองเก่า - อุทยานแห่งชาติศรีสัชนาลัย,11+500,1691,106,0,0,0,245,71,24,11,0,2148,4.935,17,1474,สุโขทัย,สุโขทัย
1295,100,กกไม้แดง - เนินมะปราง,6+500,1448,80,4,2,2,1048,103,54,100,21,2862,9.853,1,730,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
1296,100,ท่างาม - โป่งแค,0+500,1063,406,149,13,9,1604,346,321,138,116,4165,22.641,10,1254,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
1298,100,บ้านใหม่ - หนองลาว,3+000,1167,407,5,2,1,1460,142,50,47,34,3315,8.326,39,478,พะเยา,พะเยา
1299,100,เวียงชัย - บ้านปง,1+000,570,499,64,32,33,2816,147,103,92,50,4406,10.372,98,2110,เชียงรายที่ 2,เชียงราย
1300,100,ฆะมัง - โพธิ์ประทับช้าง,0+200,832,368,6,7,0,895,146,45,17,64,2380,11.723,18,719,พิจิตร,พิจิตร
1301,200,หนองระมาน - วังโป่ง,12+000,665,254,0,0,0,795,75,60,40,20,1909,10.215,16,715,เพชรบูรณ์ที่ 2 (บึงสามพัน),เพชรบูรณ์
1301,100,หนองขนาก - หนองระมาน,4+825,360,108,0,0,2,555,44,24,18,18,1129,9.389,1,341,พิจิตร,พิจิตร
1303,100,ปลายนา - หนองตูม,6+200,329,176,0,0,0,1017,161,141,99,128,2051,25.792,62,680,พิษณุโลกที่ 1,พิษณุโลก
1304,100,หัวดง - ยางสามต้น,7+700,477,141,0,0,0,866,55,43,24,22,1628,8.845,6,853,พิจิตร,พิจิตร
1306,100,ห้วยสัก - บ้านดอน,1+000,1870,1559,62,43,16,2882,1342,1082,1032,1020,10908,41.575,1044,2722,เชียงรายที่ 1,เชียงราย
1308,100,เตว็ดใน - วังทองแดง,1+500,1120,265,12,8,1,467,141,56,92,61,2223,16.149,90,1080,สุโขทัย,สุโขทัย
1309,100,ป่าแดง - หนองตม,1+200,578,1077,24,29,351,779,106,38,43,164,3189,22.923,27,794,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
1310,100,ทับยายเชียง - พรหมพิราม,2+400,1188,1030,18,32,30,1346,45,44,51,58,3842,6.767,10,894,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
1311,100,คีรีมาศ - หนองบัว,3+000,1205,1081,0,1,1,89,102,86,146,60,2771,14.291,22,1068,สุโขทัย,สุโขทัย
1312,200,กำแพงดิน - สามแยกกำแพงดิน,11+400,1065,506,6,0,0,517,139,85,174,50,2542,17.624,13,1124,พิษณุโลกที่ 1,พิษณุโลก
1312,100,สามง่าม - กำแพงดิน,2+050,679,789,0,0,0,1077,490,471,527,472,4505,43.507,150,527,พิจิตร,พิจิตร
1313,101,บางมูลนาก - บางไผ่,9+000,619,648,0,0,0,634,41,33,30,32,2037,6.676,4,907,พิจิตร,พิจิตร
1314,100,ท่าตอน - แม่แหลง,10+000,246,147,0,0,0,934,41,0,0,0,1368,2.997,2,884,เชียงใหม่ที่ 3,เชียงใหม่
