datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,less4whells,4whells,more4whells,day_of_week,is_weekend,is_holiday
2023-02-07,0,80.39583333333333,81.72916666666667,29.719375,93,406,92,1,0,0
2023-02-08,0,79.52083333333333,83.27083333333333,29.715,92,400,94,2,0,0
2023-02-09,0,80.64583333333333,80.58333333333333,29.708125,90,414,90,3,0,0
2023-02-10,1,81.08510638297872,81.2127659574468,29.71914893617021,87,397,89,4,0,0
2023-02-11,0,81.20833333333333,81.95833333333333,29.731875,92,400,92,5,1,0
2023-02-12,0,79.66666666666667,83.0625,29.749166666666667,93,412,93,6,1,0
2023-02-13,1,80.10416666666667,80.52083333333333,29.74875,91,402,90,0,0,0
2023-02-14,1,79.16666666666667,82.45833333333333,29.73375,94,414,95,1,0,0
2023-02-15,0,79.22916666666667,79.89583333333333,29.73875,89,408,93,2,0,0
2023-02-16,0,79.35416666666667,77.625,29.763333333333332,92,412,92,3,0,0
2023-02-17,0,80.97872340425532,78.51063829787235,29.77021276595745,87,402,88,4,0,0
2023-02-18,1,80.46808510638297,80.93617021276596,29.76042553191489,90,401,91,5,1,0
2023-02-19,0,79.56521739130434,82.84782608695652,29.75978260869565,89,384,83,6,1,0
2023-02-20,0,80.35416666666667,81.02083333333333,29.74395833333333,89,401,92,0,0,0
2023-02-21,0,80.54347826086956,79.71739130434783,29.77173913043478,93,387,87,1,0,0
2023-02-22,0,80.95652173913044,76.78260869565217,29.77521739130435,88,389,89,2,0,0
2023-02-23,0,79.54166666666667,79.6875,29.76,95,405,94,3,0,0
2023-02-24,0,79.91666666666667,79.22916666666667,29.75708333333333,92,422,91,4,0,0
2023-02-25,0,79.95833333333333,79.95833333333333,29.801458333333333,94,399,96,5,1,0
2023-02-26,0,79.5625,75.64583333333333,29.846041666666665,92,406,88,6,1,0
2023-02-27,0,78.83333333333333,80.91666666666667,29.84520833333333,90,412,89,0,0,0
2023-02-28,0,77.875,86.27083333333333,29.832083333333333,84,409,95,1,0,0
2023-03-01,0,76.58333333333333,93.85416666666669,29.8325,85,425,97,2,0,0
2023-03-02,0,80.0625,83.1875,29.81083333333333,95,406,96,3,0,0
2023-03-03,0,81.64583333333333,77.125,29.848541666666662,88,403,91,4,0,0
2023-03-04,0,79.47916666666667,79.20833333333333,29.865625,96,403,92,5,1,0
2023-03-05,1,79.375,75.47916666666667,29.85,91,408,91,6,1,0
2023-03-06,0,78.70833333333333,74.875,29.82375,89,404,98,0,0,1
2023-03-07,0,79.3125,77.08333333333333,29.816875,93,394,97,1,0,0
2023-03-08,0,80.08333333333333,77.54166666666667,29.802291666666665,91,398,91,2,0,0
2023-03-09,0,80.5,77.4375,29.770625,91,415,96,3,0,0
2023-03-10,0,81.02083333333333,77.41666666666667,29.75770833333333,90,401,95,4,0,0
2023-03-11,0,79.91666666666667,76.89583333333333,29.773750000000003,94,399,93,5,1,0
2023-03-12,0,79.0625,79.0,29.76708333333333,92,405,94,6,1,0
2023-03-13,0,80.47916666666667,73.22916666666667,29.756041666666665,95,412,92,0,0,0
2023-03-14,0,78.9375,74.6875,29.720625,89,399,94,1,0,0
2023-03-15,0,75.77272727272727,82.27272727272727,29.752272727272725,30,149,45,2,0,0
2023-03-16,0,83.36,69.96,29.7616,56,232,49,3,0,0
2023-03-17,0,80.83333333333333,77.27083333333333,29.75520833333333,91,391,92,4,0,0
2023-03-18,0,81.4375,76.8125,29.726250000000004,95,411,96,5,1,0
2023-03-19,0,82.3125,76.85416666666667,29.7025,91,403,92,6,1,0
2023-03-20,0,82.95833333333333,78.83333333333333,29.69375,91,413,93,0,0,0
2023-03-21,0,80.91666666666667,81.66666666666667,29.699375,95,409,94,1,0,0
2023-03-22,1,83.14583333333333,79.75,29.658125,88,397,95,2,0,0
2023-03-23,0,82.54166666666667,81.4375,29.671875,85,419,99,3,0,0
2023-03-24,0,83.02083333333333,78.35416666666667,29.679375000000004,93,416,93,4,0,0
2023-03-25,0,81.9375,75.35416666666667,29.700000000000003,90,405,92,5,1,0
2023-03-26,1,81.72916666666667,76.08333333333333,29.676875,90,392,90,6,1,0
2023-03-27,0,82.20833333333333,76.41666666666667,29.67625,89,403,97,0,0,0
2023-03-28,0,82.95833333333333,79.35416666666667,29.706875,91,413,99,1,0,0
2023-03-29,0,82.8125,76.27083333333333,29.726250000000004,93,406,92,2,0,0
2023-03-30,0,81.875,75.6875,29.704375,88,401,96,3,0,0
2023-03-31,0,81.64583333333333,74.66666666666667,29.696250000000003,90,404,94,4,0,0
2023-04-01,0,82.70833333333333,73.02083333333333,29.693125,90,415,96,5,1,0
2023-04-02,0,81.9375,77.08333333333333,29.6825,93,406,89,6,1,0
2023-04-03,1,81.58333333333333,79.97916666666667,29.68875,85,407,98,0,0,0
2023-04-04,0,81.6875,79.9375,29.666875,87,411,93,1,0,0
2023-04-05,0,79.14583333333333,88.14583333333333,29.688125,90,421,93,2,0,0
2023-04-06,0,80.20833333333333,83.9375,29.690625,88,413,92,3,0,1
2023-04-07,0,82.52083333333333,76.8125,29.723125,92,407,97,4,0,0
2023-04-08,0,83.375,77.5,29.76458333333333,92,411,93,5,1,0
2023-04-09,0,84.16666666666667,75.41666666666667,29.770416666666662,96,409,91,6,1,0
2023-04-10,0,83.70833333333333,77.3125,29.73583333333333,89,402,97,0,0,0
2023-04-11,0,84.20833333333333,76.41666666666667,29.70875,94,401,96,1,0,0
2023-04-12,2,83.625,79.125,29.69125,90,411,90,2,0,0
2023-04-13,1,83.44680851063829,82.04255319148936,29.68340425531915,87,395,87,3,0,1
2023-04-14,0,84.35416666666667,80.60416666666667,29.67375,89,403,92,4,0,1
2023-04-15,0,85.52083333333333,77.20833333333333,29.65875,93,406,100,5,1,1
2023-04-16,1,81.52083333333333,84.45833333333333,29.66875,91,406,94,6,1,0
2023-04-17,1,83.9375,77.10416666666667,29.69,90,411,94,0,0,1
2023-04-18,1,82.75,82.3125,29.701875,91,402,95,1,0,0
2023-04-19,0,82.6875,82.91666666666667,29.63875,89,417,93,2,0,0
2023-04-20,0,84.14583333333333,77.52083333333333,29.603125,93,407,91,3,0,0
2023-04-21,0,85.79166666666667,78.4375,29.604375,91,402,96,4,0,0
2023-04-22,0,80.375,88.54166666666667,29.618125000000003,85,421,96,5,1,0
2023-04-23,0,79.27083333333333,89.0625,29.656875,83,419,89,6,1,0
2023-04-24,0,83.16666666666667,80.58333333333333,29.688125,91,421,93,0,0,0
2023-04-25,0,84.35416666666667,78.52083333333333,29.65875,88,399,92,1,0,0
2023-04-26,0,84.375,78.375,29.64625,89,403,93,2,0,0
2023-04-27,0,84.375,77.02083333333333,29.66875,87,408,96,3,0,0
2023-04-28,0,84.1875,78.66666666666667,29.68125,88,399,90,4,0,0
2023-04-29,0,82.41666666666667,83.8125,29.660625,94,407,91,5,1,0
2023-04-30,0,84.875,78.47916666666667,29.635625,91,413,93,6,1,0
2023-05-01,0,84.3125,80.27083333333333,29.640625,91,397,94,0,0,1
2023-05-02,0,79.85416666666667,91.125,29.685,83,393,92,1,0,0
2023-05-03,1,82.79166666666667,83.5,29.701875,90,408,95,2,0,0
2023-05-04,0,82.52083333333333,83.625,29.6675,86,407,95,3,0,1
2023-05-05,0,82.75,84.89583333333333,29.61625,80,401,94,4,0,1
2023-05-06,0,84.6875,81.45833333333333,29.593125,86,411,101,5,1,0
2023-05-07,0,85.16666666666667,79.3125,29.5975,91,408,95,6,1,0
2023-05-08,0,86.27083333333333,76.70833333333333,29.6,90,416,91,0,0,0
2023-05-09,0,85.16666666666667,78.66666666666667,29.628125,85,409,92,1,0,0
2023-05-10,0,83.89583333333333,80.47916666666667,29.668125,92,418,94,2,0,0
2023-05-11,0,84.25,78.875,29.699375,89,408,92,3,0,0
2023-05-12,0,85.22916666666667,75.125,29.7075,89,412,89,4,0,0
2023-05-13,0,85.35416666666667,77.0,29.716875,91,398,92,5,1,0
2023-05-14,0,84.375,79.5,29.72125,88,392,91,6,1,0
2023-05-15,0,82.91666666666667,84.70833333333333,29.737291666666668,88,406,93,0,0,0
2023-05-16,0,82.8125,81.91666666666667,29.756041666666665,87,425,90,1,0,0
2023-05-17,0,80.52083333333333,86.64583333333333,29.766666666666666,85,402,93,2,0,0
2023-05-18,0,81.5625,84.375,29.76833333333333,87,407,91,3,0,0
2023-05-19,0,81.6875,86.54166666666667,29.72,87,406,95,4,0,0
2023-05-20,0,85.45833333333333,76.29166666666667,29.689375,88,415,92,5,1,0
2023-05-21,0,83.58333333333333,78.89583333333333,29.7225,88,408,96,6,1,0
2023-05-22,1,82.16666666666667,80.1875,29.754583333333333,94,415,95,0,0,0
2023-05-23,1,83.52083333333333,79.29166666666667,29.73875,90,400,93,1,0,0
2023-05-24,1,84.35416666666667,78.625,29.727500000000003,95,414,93,2,0,0
2023-05-25,1,84.44680851063829,78.06382978723404,29.73255319148936,92,400,90,3,0,0
2023-05-26,0,81.77083333333333,85.97916666666667,29.73375,83,415,95,4,0,0
2023-05-27,0,83.72916666666667,76.4375,29.6825,88,413,91,5,1,0
2023-05-28,0,81.83333333333333,83.75,29.6575,91,412,93,6,1,0
2023-05-29,0,84.29166666666667,74.10416666666667,29.680625000000003,94,412,91,0,0,0
2023-05-30,0,83.83333333333333,77.41666666666667,29.685,87,407,89,1,0,0
