ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1349,100,สะเมิง - วัดจันทร์,0+100,111,23,36,0,0,679,11,0,0,0,860,1.28,5,698,เชียงใหม่ที่ 2,เชียงใหม่
1349,100,สะเมิง - วัดจันทร์,50+000,33,6,4,2,0,384,12,0,2,0,443,3.61,0,155,เชียงใหม่ที่ 2,เชียงใหม่
1350,100,ทางเข้าโครงการพระราชดำริศูนย์ภูฟ้าพัฒนา,0+100,181,83,41,0,0,0,24,0,0,0,329,7.30,0,116,น่านที่ 2,น่าน
1351,100,หนองบัวใต้ - เชิงสะพานกิตติขจร,3+000,168,80,1,1,0,326,50,16,8,13,663,13.27,24,233,ตากที่ 1,ตาก
1352,100,ทางเข้าดอนไชย,1+741,1475,131,24,0,0,190,33,9,18,9,1889,3.65,3,630,ลำปางที่ 1,ลำปาง
1353,100,ทางเข้าแม่ใจ,3+065,1068,88,11,6,9,2140,76,22,36,7,3463,4.51,37,2417,พะเยา,พะเยา
1357,100,ทางเข้าเขื่อนภูมิพล,10+000,1010,1011,111,23,13,1212,72,36,2,3,3493,4.27,22,998,ตากที่ 1,ตาก
1358,100,ทางเข้าดอยอ่างขาง,0+500,17,0,2,0,4,121,1,0,0,0,145,3.45,3,193,เชียงใหม่ที่ 3,เชียงใหม่
1359,100,ทางเข้าเชียงดาว,7+995,1883,444,143,92,128,7576,135,45,19,10,10475,4.10,5,2264,เชียงใหม่ที่ 3,เชียงใหม่
1361,100,สวนดอกคำ - ม่วงงาม,0+220,1498,1185,568,470,440,2313,591,409,349,384,8207,32.20,451,2221,ลำปางที่ 2,ลำปาง
1362,100,นิคมดอยเต่า - ท่าน้ำ,1+500,42,46,0,0,0,146,36,1,0,0,271,13.65,16,204,เชียงใหม่ที่ 1,เชียงใหม่
1364,100,โรงเรียนนวมินทราชูทิศ - กองพันพัฒนาที่ 3,0+410,1780,113,12,0,0,900,23,0,0,12,2840,1.23,17,1382,เชียงใหม่ที่ 2,เชียงใหม่
1365,100,สนามกีฬาสมโภชเชียงใหม่ 700 ปี - ศาลจังหวัดเชียงใหม่,0+700,9455,5810,92,207,15,666,99,9,19,0,16372,2.13,57,2661,เชียงใหม่ที่ 2,เชียงใหม่
1366,100,หนองฮ่อ - ศูนย์พัฒนาปิโตรเลียมภาคเหนือ,1+780,5783,771,117,26,1,2675,95,13,3,0,9484,1.46,38,3128,เชียงใหม่ที่ 2,เชียงใหม่
1367,100,สันทรายน้อย - มหาวิทยาลัยแม่โจ้,5+000,5200,199,239,66,59,5774,336,99,27,30,12029,5.13,115,5422,เชียงใหม่ที่ 2,เชียงใหม่
1368,100,บ้านกล้วย - คลองยาง,2+547,2546,1189,74,24,0,132,104,73,12,0,4154,5.13,521,3688,สุโขทัย,สุโขทัย
1370,100,ทางเข้าสวรรคโลก,6+630,4940,115,2,5,9,3178,122,25,17,19,8432,2.34,66,3097,สุโขทัย,สุโขทัย
1371,100,ตีนตก - บ้านมอน,2+000,1318,195,10,0,0,586,280,117,0,0,2506,15.84,321,1417,น่านที่ 2,น่าน
1372,100,หนองบัว - ไร่สีทอง,1+700,119,0,0,0,0,797,36,1,2,1,956,4.18,58,441,พิษณุโลกที่ 1,สุโขทัย
1373,100,คลองยาง - บ้านเหมือง,1+137,447,223,12,0,1,660,34,19,33,34,1463,8.27,47,505,สุโขทัย,สุโขทัย
1374,101,ตะพานหิน - คลองคูณ,3+000,4084,2468,26,18,8,564,267,168,65,95,7763,8.00,13,1144,พิจิตร,พิจิตร
1375,100,หนองกระทุ่ม - ดงเย็น,6+000,426,282,14,68,1,1394,169,97,173,70,2694,21.46,28,791,กำแพงเพชร,กำแพงเพชร
1375,200,ดงเย็น - ดงทอง,13+000,268,194,20,23,0,1142,144,170,178,126,2265,28.30,37,879,นครสวรรค์ที่ 1,นครสวรรค์
1377,100,ทางเข้าสองคอน,0+100,738,483,49,26,27,294,196,48,49,56,1966,20.45,87,578,อุตรดิตถ์ที่ 2,อุตรดิตถ์
1378,100,สามัคคีใหม่ - ห้วยปู,3+000,14,13,0,0,0,46,0,0,0,0,73,0.00,0,50,เชียงรายที่ 1,เชียงราย
1384,100,บ้านใหม่ - น้ำตกขุนกรณ์,4+500,549,183,0,0,0,1883,65,49,0,0,2729,4.18,107,1400,เชียงรายที่ 1,เชียงราย
1385,100,แม่ต๋ำน้อย -ชมภู,6+322,1367,243,99,79,111,3094,106,102,103,41,5345,10.14,228,901,เชียงรายที่ 2,เชียงราย
1386,100,ทางเข้าท่าอากาศยานพิษณุโลก,0+270,2822,319,0,0,4,200,49,1,0,0,3395,1.59,191,861,พิษณุโลกที่ 1,พิษณุโลก
1387,100,ห้วยไคร้ - ห้วยน้ำขุ่น,1+000,105,68,21,36,0,704,13,0,0,0,947,5.17,8,963,เชียงรายที่ 1,เชียงราย
1389,100,สถานีเพาะเลี้ยงสัตว์ป่าดอยตุง - วัดพระธาตุดอยตุง,1+000,47,40,12,0,0,4,0,0,0,0,103,0.00,0,55,เชียงรายที่ 1,เชียงราย
