ทางหลวงสาย,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels
,6519,21741,6592
,8638,24060,3545
,2931,29162,9363
,4122,30715,4377
,9074,26179,2849
,4603,14861,2479
,3457,8773,1789
all,39344,155491,30994
