date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,LATITUDE,LONGITUDE,less4wheelacc,4wheelacc,more4wheelacc,เกิดเหตุ,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday,is_special_holiday,is_any_holiday,holiday_name,special_name,special_kind
01/01/2023,12:00 AM,72.0,94.0,3.33,29.83,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,12:30 AM,71.71,94.86,3.57,29.83,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,01:00 AM,71.5,95.5,3.12,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,01:30 AM,71.33,96.0,2.78,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,02:00 AM,71.2,96.4,2.5,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,02:30 AM,71.09,96.73,2.27,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,03:00 AM,71.09,96.73,2.18,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,03:30 AM,70.91,97.27,1.91,29.81,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,04:00 AM,70.73,97.82,1.91,29.81,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,04:30 AM,70.55,98.36,1.64,29.81,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,05:00 AM,70.64,98.36,1.18,29.81,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,05:30 AM,70.91,98.36,0.73,29.81,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,06:00 AM,71.55,97.82,0.45,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,06:30 AM,72.55,96.36,0.91,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,07:00 AM,73.55,94.91,1.64,29.83,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,07:30 AM,74.82,93.0,2.45,29.83,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,08:00 AM,75.91,91.09,3.36,29.84,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,08:30 AM,77.18,88.91,4.27,29.84,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,09:00 AM,78.45,85.82,5.45,29.84,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,09:30 AM,80.09,82.0,6.73,29.84,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,10:00 AM,81.73,77.91,8.09,29.84,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,10:30 AM,83.09,74.09,9.27,29.84,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,11:00 AM,84.27,70.55,10.36,29.83,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,11:30 AM,85.27,67.0,11.27,29.82,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,12:00 PM,85.91,64.36,12.18,29.81,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,12:30 PM,86.55,61.45,12.64,29.8,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,01:00 PM,86.91,59.27,12.91,29.79,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,01:30 PM,87.27,57.36,12.91,29.78,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,02:00 PM,87.27,56.0,12.91,29.77,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
01/01/2023,02:30 PM,87.27,55.64,12.82,29.76,Clear,-,-,0,0,0,0,,,,6,1,1,0,1,New Year's Day,,
