date,time,temperature_F,humidity_%,pressure_in,condition,เกิดเหตุ,รถน้อยกว่า4ล้อacc,รถ4ล้อacc,รถมากกว่า4ล้อacc,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday,is_special,is_eve_or_return
01/01/2022,12:00 AM,79.0,83.0,29.8,Clear,0,0,0,0,1.0,3.0,2.0,5,1,1,0,0
01/01/2022,12:30 AM,79.0,83.0,29.8,Clear,0,0,0,0,0.0,4.0,2.0,5,1,1,0,0
01/01/2022,01:00 AM,78.75,83.75,29.8,Clear,0,0,0,0,0.0,3.0,2.0,5,1,1,0,0
01/01/2022,01:30 AM,78.33,84.89,29.79,Clear,0,0,0,0,0.0,3.0,2.0,5,1,1,0,0
01/01/2022,02:00 AM,78.0,85.3,29.79,Clear,0,0,0,0,1.0,5.0,2.0,5,1,1,0,0
01/01/2022,02:30 AM,77.55,86.09,29.79,Clear,0,0,0,0,1.0,6.0,3.0,5,1,1,0,0
01/01/2022,03:00 AM,77.0,87.09,29.78,Rain,0,0,0,0,0.0,5.0,3.0,5,1,1,0,0
01/01/2022,03:30 AM,76.45,88.64,29.78,Rain,0,0,0,0,0.0,3.0,4.0,5,1,1,0,0
01/01/2022,04:00 AM,75.91,90.18,29.78,Clear,0,0,0,0,1.0,5.0,4.0,5,1,1,0,0
01/01/2022,04:30 AM,75.36,91.73,29.78,Clear,0,0,0,0,1.0,3.0,1.0,5,1,1,0,0
01/01/2022,05:00 AM,74.82,93.27,29.78,Clear,0,0,0,0,2.0,10.0,2.0,5,1,1,0,0
01/01/2022,05:30 AM,74.45,94.27,29.78,Rain,0,0,0,0,2.0,22.0,2.0,5,1,1,0,0
01/01/2022,06:00 AM,74.09,95.82,29.79,Rain,0,0,0,0,3.0,11.0,1.0,5,1,1,0,0
01/01/2022,06:30 AM,74.09,96.27,29.79,Rain,0,0,0,0,3.0,26.0,3.0,5,1,1,0,0
