datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2022-01-01,0,77.12645833333333,92.03229166666667,29.790833333333335,96.0,559.0,96.0,5,1,1
2022-01-02,0,81.84291666666667,77.245625,29.711875000000003,98.0,552.0,93.0,6,1,0
2022-01-03,1,81.74854166666667,80.81270833333333,29.751458333333332,101.0,512.0,94.0,0,0,1
2022-01-04,0,81.86145833333333,81.35416666666667,29.70104166666667,88.0,416.0,97.0,1,0,0
2022-01-05,0,79.24020833333334,94.06958333333334,29.615,79.0,397.0,105.0,2,0,0
2022-01-06,1,82.50583333333333,78.86145833333333,29.645,78.0,368.0,98.0,3,0,0
2022-01-07,0,80.23354166666667,88.55895833333334,29.60354166666667,87.0,397.0,96.0,4,0,0
2022-01-08,0,81.73083333333334,80.829375,29.63291666666667,92.0,476.0,92.0,5,1,1
2022-01-09,0,79.27104166666666,88.50895833333334,29.675833333333333,85.0,488.0,99.0,6,1,0
2022-01-10,0,79.90541666666667,82.68770833333333,29.7,80.0,421.0,99.0,0,0,0
2022-01-11,1,80.77104166666668,83.01583333333333,29.704791666666665,84.0,408.0,98.0,1,0,0
2022-01-12,1,78.57270833333334,90.2425,29.690208333333334,85.0,377.0,100.0,2,0,0
2022-01-13,0,78.85041666666667,73.77125,29.814166666666665,97.0,377.0,99.0,3,0,0
2022-01-14,0,78.67729166666668,75.354375,29.80333333333333,90.0,406.0,102.0,4,0,0
2022-01-15,0,78.31708333333333,77.24895833333333,29.792083333333334,92.0,466.0,99.0,5,1,0
2022-01-16,0,79.80895833333334,77.80041666666666,29.786041666666666,91.0,507.0,96.0,6,1,0
2022-01-17,0,79.573125,80.92979166666667,29.790833333333335,82.0,506.0,102.0,0,0,0
2022-01-18,0,78.78333333333333,79.00750000000001,29.776458333333334,83.0,406.0,110.0,1,0,0
2022-01-19,0,78.85291666666667,79.97687499999999,29.746666666666666,82.0,381.0,106.0,2,0,0
2022-01-20,0,79.15375,79.88604166666667,29.732083333333335,82.0,389.0,106.0,3,0,0
2022-01-21,0,80.42,78.598125,29.741666666666664,82.0,415.0,98.0,4,0,0
2022-01-22,0,80.66770833333334,79.08312500000001,29.710624999999997,86.0,462.0,89.0,5,1,0
2022-01-23,0,80.6275,79.005625,29.707916666666666,85.0,453.0,93.0,6,1,0
2022-01-24,0,80.29729166666667,80.70625,29.707916666666666,88.0,423.0,99.0,0,0,0
2022-01-25,0,80.06458333333333,81.10541666666667,29.719166666666666,87.0,389.0,101.0,1,0,0
2022-01-26,1,80.82375,78.64895833333334,29.727500000000003,88.0,374.0,104.0,2,0,0
2022-01-27,0,82.23,75.69270833333333,29.723541666666666,78.0,368.0,102.0,3,0,0
2022-01-28,0,81.42770833333334,77.12458333333333,29.738958333333333,81.0,402.0,99.0,4,0,0
2022-01-29,0,81.27291666666666,78.89625,29.733125,89.0,436.0,98.0,5,1,0
2022-01-30,0,80.55729166666667,78.33437500000001,29.72,92.0,441.0,93.0,6,1,0
2022-01-31,0,80.93958333333333,78.37458333333333,29.711249999999996,86.0,411.0,101.0,0,0,0
2022-02-01,0,78.36583333333333,88.35208333333333,29.779791666666668,95.0,404.0,98.0,1,0,0
2022-02-02,0,81.31770833333333,79.11749999999999,29.73645833333333,90.0,386.0,101.0,2,0,0
2022-02-03,1,81.87729166666666,81.02083333333333,29.744375,84.0,425.0,104.0,3,0,0
2022-02-04,0,78.41125,91.49958333333335,29.731875,85.0,406.0,108.0,4,0,0
2022-02-05,0,80.37875,91.21854166666667,29.621666666666666,101.0,418.0,105.0,5,1,0
2022-02-06,0,83.45854166666668,75.56229166666667,29.668125,109.0,395.0,100.0,6,1,0
2022-02-07,1,82.32541666666667,81.389375,29.595416666666665,87.0,380.0,105.0,0,0,0
2022-02-08,0,80.744375,84.393125,29.64375,75.0,440.0,109.0,1,0,0
2022-02-09,0,81.98333333333333,77.813125,29.6925,74.0,455.0,116.0,2,0,0
2022-02-10,1,79.371875,86.870625,29.677291666666665,83.0,385.0,103.0,3,0,0
2022-02-11,0,80.52645833333334,82.80291666666666,29.702291666666667,93.0,375.0,104.0,4,0,0
2022-02-12,1,76.92583333333333,92.11500000000001,29.666666666666668,97.0,452.0,99.0,5,1,0
2022-02-13,0,82.35583333333334,79.36770833333334,29.624791666666667,91.0,424.0,95.0,6,1,0
2022-02-14,0,80.84458333333333,82.9275,29.643333333333334,89.0,382.0,101.0,0,0,0
2022-02-15,1,81.26875,84.05145833333333,29.647499999999997,103.0,425.0,96.0,1,0,0
2022-02-16,0,79.96208333333333,87.91520833333334,29.61645833333333,109.0,456.0,86.0,2,0,1
2022-02-17,0,78.45041666666667,88.763125,29.63270833333333,96.0,363.0,99.0,3,0,0
2022-02-18,0,82.7275,82.07770833333333,29.665833333333335,89.0,352.0,111.0,4,0,0
2022-02-19,0,82.59625,80.83395833333334,29.72,90.0,558.0,106.0,5,1,0
2022-02-20,1,78.62291666666667,88.958125,29.716041666666666,87.0,583.0,94.0,6,1,0
2022-02-21,0,81.51583333333333,79.91645833333332,29.72083333333333,82.0,444.0,97.0,0,0,0
2022-02-22,0,82.86166666666666,78.04041666666667,29.748958333333334,83.0,427.0,102.0,1,0,0
2022-02-23,0,82.02854166666667,80.40708333333333,29.782708333333332,92.0,389.0,104.0,2,0,0
