date,forecast_mean_count,forecast_prob
2024-10-19,0.2700451685877207,0.23665498565808873
2024-10-20,0.13486071139525183,0.1261623811656677
2024-10-21,-0.01044293158807049,0.0
2024-10-22,0.1933746654855046,0.17582687293923926
2024-10-23,0.2807171312418332,0.24475806038260972
2024-10-24,0.14667137315083983,0.13642227438289833
2024-10-25,0.22446894640818457,0.20105961371665293
2024-10-26,0.2827109670506165,0.24626238861600735
2024-10-27,0.1357221684179361,0.12691483057115271
2024-10-28,-0.0028123311256868086,0.0
2024-10-29,0.19219609599554305,0.1748549550133338
2024-10-30,0.2800080481589337,0.24422234118746822
2024-10-31,0.14613725868481897,0.13596090182520248
2024-11-01,0.22362405965757345,0.20038431433417447
