date,forecast_mean_count,ci_lower,ci_upper,forecast_prob_ge1
2025-01-01,0.16937727397876456,-0.7437543135736198,1.082508861531149,0.15580964775374184
2025-01-02,0.1288597415523533,-0.7877618735597303,1.0454813566644368,0.12090274228430542
2025-01-03,0.24561468656240573,-0.6712862123579368,1.1625155854827482,0.21777643188204288
2025-01-04,0.25100029337445445,-0.6659229971362399,1.1679235838851487,0.22197785669289805
2025-01-05,0.12268315179683548,-0.7942419342321951,1.0396082378258662,0.11545611569503933
2025-01-06,0.01365518911789688,-0.9032700408904205,0.9305804191262143,0.01356237994551368
2025-01-07,0.14132479474681875,-0.775600446806942,1.0582500363005793,0.1317927232642233
2025-01-08,0.22008583092295816,-0.6969236513188491,1.1370953131647654,0.19755008001066965
2025-01-09,0.11689924203806722,-0.800110867356687,1.0339093514328215,0.11032516952979965
2025-01-10,0.2427502953361912,-0.6742598643488298,1.1597604550212122,0.21553262552111407
2025-01-11,0.24440482485620424,-0.6726053388615043,1.1614149885739127,0.21682947681446185
2025-01-12,0.12464398807060703,-0.7923661759704754,1.0416541521116895,0.11718886205798318
2025-01-13,0.00485066987844817,-0.9121594941885651,0.9218608339454615,0.004838924378169018
2025-01-14,0.14326708161592583,-0.7737430824531668,1.0602772456850185,0.13347739427068783
