ทางหลวงสาย,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels
,4979,25022,9930
,4489,21199,9541
,1309,30820,4934
,5771,28231,3990
,9169,27389,2615
,3564,13401,2646
,3088,8877,2857
all,32369,154939,36513
