ทางหลวงสาย,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels
,7831,25855,2564
,3871,21357,6123
,3539,26129,4890
,3975,21429,7741
,1577,22537,5995
,3909,11197,2385
,3242,7493,2342
all,27944,135997,32040
