ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ
2023,02/01/2023,01:30 AM,4,สงขลา,6.777963149,100.452881,2,1,1,0,1
2023,03/01/2023,06:30 PM,4,สงขลา,6.784871806,100.4530303,1,0,1,0,1
2023,14/01/2023,10:00 AM,4,สงขลา,6.585809638,100.4131655,2,0,1,1,1
2023,31/01/2023,06:00 PM,4,สงขลา,6.801137383,100.4532243,2,0,2,0,1
2023,01/02/2023,09:00 AM,4,สงขลา,6.938055334,100.4701775,1,0,1,0,1
2023,02/02/2023,05:00 AM,4,สงขลา,6.740458802,100.4511255,1,0,1,0,1
2023,03/02/2023,09:00 AM,4,สงขลา,6.546542541,100.4150914,2,0,1,1,1
2023,10/02/2023,02:00 PM,4,สงขลา,6.930608495,100.4685947,1,0,1,0,1
2023,13/02/2023,08:30 AM,4,สงขลา,6.650046937,100.4283536,2,0,2,0,1
2023,14/02/2023,03:00 PM,4,สงขลา,6.789442538,100.4529333,3,0,3,0,1
2023,18/02/2023,06:00 AM,4,สงขลา,6.985343102,100.4434524,3,0,3,0,1
2023,05/03/2023,05:00 AM,4,สงขลา,6.815410944,100.4573177,1,0,1,0,1
2023,22/03/2023,06:00 PM,4,สงขลา,6.814581708,100.4569767,2,0,2,0,1
2023,26/03/2023,11:30 AM,4,สงขลา,6.813683672,100.4567901,1,0,1,0,1
2023,03/04/2023,10:00 AM,4,สงขลา,6.789188183,100.4530232,2,0,0,2,1
2023,12/04/2023,03:30 PM,4,สงขลา,7.039971176,100.3908275,1,0,1,0,1
2023,12/04/2023,07:00 PM,4,สงขลา,6.547493718,100.4149265,2,1,1,0,1
2023,13/04/2023,02:00 AM,4,สงขลา,6.984308635,100.4503199,1,0,1,0,1
2023,16/04/2023,08:00 AM,4,สงขลา,6.577757425,100.4110077,1,0,1,0,1
2023,17/04/2023,05:30 PM,4,สงขลา,6.95366487,100.4733795,2,1,0,1,1
2023,18/04/2023,09:00 AM,4,สงขลา,6.886012624,100.4700562,1,0,1,0,1
2023,03/05/2023,01:30 PM,4,สงขลา,6.902287712,100.4695714,1,0,1,0,1
2023,22/05/2023,10:00 AM,4,สงขลา,7.179569697,100.2557593,2,0,0,2,1
2023,23/05/2023,07:00 AM,4,สงขลา,7.115765188,100.3235881,1,0,1,0,1
2023,24/05/2023,03:30 AM,4,สงขลา,7.1842191,100.2381817,1,0,0,1,1
2023,25/05/2023,08:30 PM,4,สงขลา,6.52494441,100.4184009,2,1,0,1,1
2023,02/06/2023,08:00 AM,4,สงขลา,6.982027166,100.4570885,2,0,2,0,1
2023,03/06/2023,07:00 AM,4,สงขลา,6.567087108,100.4113711,1,0,1,0,1
2023,06/06/2023,11:30 AM,4,สงขลา,6.931845863,100.4689006,1,0,1,0,1
2023,06/06/2023,07:00 PM,4,สงขลา,6.747578739,100.4516029,1,0,1,0,1
2023,07/06/2023,11:00 PM,4,สงขลา,6.611000628,100.4194176,2,1,0,1,1
2023,17/06/2023,10:00 PM,4,สงขลา,6.870189203,100.4702857,1,0,0,1,1
2023,25/06/2023,01:00 AM,4,สงขลา,6.737767157,100.4507956,1,0,0,1,1
2023,17/07/2023,07:30 AM,4,สงขลา,7.004114687,100.4151669,1,0,1,0,1
2023,21/07/2023,09:30 AM,4,สงขลา,6.538536326,100.4161629,2,1,1,0,1
2023,12/08/2023,10:30 PM,4,สงขลา,6.848977699,100.4702639,1,0,1,0,1
2023,25/08/2023,08:30 AM,4,สงขลา,6.563393945,100.4120149,1,0,1,0,1
2023,26/08/2023,05:30 AM,4,สงขลา,6.603983925,100.4179426,1,0,1,0,1
2023,26/08/2023,05:30 PM,4,สงขลา,6.980435776,100.4617998,1,0,1,0,1
2023,27/08/2023,05:30 AM,4,สงขลา,6.618764719,100.4206431,1,0,1,0,1
2023,04/09/2023,12:00 AM,4,สงขลา,6.986495266,100.4327547,1,0,1,0,1
2023,10/09/2023,04:00 AM,4,สงขลา,6.900464123,100.4698192,1,0,1,0,1
2023,10/09/2023,07:30 PM,4,สงขลา,6.580448616,100.4116488,2,0,1,1,1
2023,12/09/2023,07:00 PM,4,สงขลา,6.675980405,100.4370372,1,0,0,1,1
2023,18/09/2023,03:30 PM,4,สงขลา,6.786065335,100.4530232,1,0,1,0,1
2023,19/09/2023,09:30 AM,4,สงขลา,6.80465963,100.4539324,1,0,0,1,1
2023,24/09/2023,04:00 PM,4,สงขลา,6.706735574,100.4439667,2,1,1,0,1
2023,30/09/2023,11:00 AM,4,สงขลา,6.661232156,100.4320925,1,0,0,1,1
2023,08/10/2023,01:00 AM,4,สงขลา,6.812862571,100.4564524,2,0,1,1,1
2023,28/10/2023,10:30 PM,4,สงขลา,6.538524335,100.4161415,4,1,2,1,1
2023,31/10/2023,03:30 AM,4,สงขลา,6.80809929,100.4549785,2,0,1,1,1
2023,08/11/2023,04:30 AM,4,สงขลา,6.573013166,100.4103693,1,0,1,0,1
2023,07/12/2023,01:00 PM,4,สงขลา,6.795407184,100.4530191,2,1,1,0,1
2023,24/12/2023,01:00 AM,4,สงขลา,6.975367741,100.4768081,1,0,0,1,1
