ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ
2021,03/01/2021,03:30 AM,4,สงขลา,7.049858287,100.3820264,1,0,0,1,1
2021,07/01/2021,05:00 AM,4,สงขลา,6.692033539,100.4405066,1,0,1,0,1
2021,11/01/2021,11:00 AM,4,สงขลา,6.829872572,100.4626241,1,0,1,0,1
2021,20/01/2021,11:30 PM,4,สงขลา,6.980592349,100.4613447,1,0,1,0,1
2021,29/01/2021,01:30 AM,4,สงขลา,6.721365242,100.447467,2,0,1,1,1
2021,07/02/2021,07:30 PM,4,สงขลา,6.617781389,100.4203042,2,1,0,1,1
2021,26/02/2021,10:00 PM,4,สงขลา,6.549700223,100.4143068,2,1,1,0,1
2021,02/03/2021,08:00 AM,4,สงขลา,6.581249308,100.4119518,2,0,1,1,1
2021,12/03/2021,07:30 AM,4,สงขลา,6.782116801,100.4528314,2,1,1,0,1
2021,27/03/2021,12:00 AM,4,สงขลา,6.939686576,100.4704615,1,0,1,0,1
2021,31/03/2021,01:30 PM,4,สงขลา,6.530988328,100.417563,1,0,0,1,1
2021,06/04/2021,02:00 AM,4,สงขลา,6.635259134,100.4233163,1,0,1,0,1
2021,10/04/2021,03:30 PM,4,สงขลา,6.733573167,100.4501518,2,0,0,2,1
2021,10/04/2021,10:30 PM,4,สงขลา,7.141049683,100.3010961,1,0,1,0,1
2021,12/04/2021,05:00 AM,4,สงขลา,6.684257451,100.4388141,1,0,1,0,1
2021,16/04/2021,09:00 AM,4,สงขลา,6.986004828,100.4373389,4,0,3,1,1
2021,19/04/2021,08:00 AM,4,สงขลา,6.645673551,100.4268166,2,1,1,0,1
2021,20/04/2021,04:00 PM,4,สงขลา,6.930471369,100.4684901,2,0,0,2,1
2021,23/04/2021,07:00 PM,4,สงขลา,6.732313231,100.4499373,1,0,1,0,1
2021,28/04/2021,03:00 PM,4,สงขลา,6.987250781,100.4257142,1,0,0,1,1
2021,30/04/2021,01:30 PM,4,สงขลา,6.993184985,100.4183274,2,0,1,1,1
2021,03/05/2021,12:00 AM,4,สงขลา,6.719202252,100.4469734,1,0,0,1,1
2021,16/05/2021,12:00 AM,4,สงขลา,6.894974769,100.4698339,1,0,1,0,1
2021,17/05/2021,10:30 AM,4,สงขลา,6.795686837,100.4532069,2,1,1,0,1
2021,19/05/2021,11:30 AM,4,สงขลา,6.937764204,100.4701102,2,0,1,1,1
2021,21/05/2021,01:00 AM,4,สงขลา,6.980839946,100.4605991,1,0,0,1,1
2021,05/06/2021,11:30 AM,4,สงขลา,6.815424629,100.4571444,2,0,1,1,1
2021,08/06/2021,03:00 PM,4,สงขลา,6.672098908,100.4358369,1,0,1,0,1
2021,14/06/2021,05:30 PM,4,สงขลา,6.763062174,100.4592419,1,0,1,0,1
2021,22/06/2021,07:30 PM,4,สงขลา,6.87199948,100.4702577,2,0,2,0,1
2021,22/06/2021,11:00 PM,4,สงขลา,6.983427719,100.4529038,1,0,0,1,1
2021,29/06/2021,02:30 AM,4,สงขลา,6.726090755,100.4486793,2,1,0,1,1
2021,04/07/2021,11:00 AM,4,สงขลา,7.004339701,100.415082,1,0,0,1,1
2021,09/07/2021,02:30 PM,4,สงขลา,6.807722432,100.4548484,2,0,1,1,1
2021,14/07/2021,06:00 AM,4,สงขลา,6.666333885,100.4338172,1,0,0,1,1
2021,20/08/2021,11:00 PM,4,สงขลา,7.004334377,100.4151007,1,0,1,0,1
2021,17/09/2021,02:30 PM,4,สงขลา,6.575096861,100.4104069,1,0,1,0,1
2021,17/09/2021,07:00 PM,4,สงขลา,6.807767708,100.4549637,3,0,2,1,1
2021,20/10/2021,01:30 PM,4,สงขลา,6.797945365,100.453223,2,0,2,0,1
2021,14/11/2021,09:00 PM,4,สงขลา,7.004334377,100.4151007,1,0,1,0,1
2021,16/11/2021,08:00 AM,4,สงขลา,6.809759851,100.4554921,2,0,2,0,1
2021,27/11/2021,12:00 AM,4,สงขลา,6.874534592,100.4702282,1,0,1,0,1
2021,06/12/2021,01:30 AM,4,สงขลา,6.894037458,100.4698634,1,0,1,0,1
2021,08/12/2021,03:00 PM,4,สงขลา,6.624825848,100.4216158,1,0,0,1,1
2021,08/12/2021,03:30 PM,4,สงขลา,6.656687175,100.4305798,2,0,1,1,1
2021,17/12/2021,11:00 PM,4,สงขลา,6.71268126,100.4454231,1,0,0,1,1
2021,18/12/2021,09:30 PM,4,สงขลา,6.979905468,100.4633832,2,0,2,0,1
2021,27/12/2021,08:30 AM,4,สงขลา,6.793052761,100.4531345,2,0,1,1,1
2021,29/12/2021,12:30 AM,4,สงขลา,6.836623673,100.4658455,1,0,1,0,1
2021,29/12/2021,07:00 PM,4,สงขลา,7.190660869,100.2221668,1,0,0,1,1
2021,29/12/2021,11:30 PM,4,สงขลา,7.004203929,100.415031,1,0,0,1,1
2021,30/12/2021,05:30 AM,4,สงขลา,6.788695453,100.453113,2,1,1,0,1
