ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ,datetime,date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,year,year_ad,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,vehicles_total
2020,28/02/2020,09:30 AM,4,สงขลา,6.733213566,100.4500097,3,0,1,2,1,2020-02-28 09:30:00,2/28/2020,9:30 AM,86.0,66.0,10.0,29.76,Partly Cloudy,2020.0,2020,9074,26179,2849,38102
2020,28/02/2020,09:30 AM,4,สงขลา,6.733213566,100.4500097,3,0,1,2,1,2020-02-28 09:30:00,2/28/2020,9:30 AM,86.0,66.0,10.0,29.76,Partly Cloudy,2020.0,2020,4603,14861,2479,21943
2020,28/02/2020,09:30 AM,4,สงขลา,6.733213566,100.4500097,3,0,1,2,1,2020-02-28 09:30:00,2/28/2020,9:30 AM,86.0,66.0,10.0,29.76,Partly Cloudy,2020.0,2020,3457,8773,1789,14019
2020,28/02/2020,09:30 AM,4,สงขลา,6.733213566,100.4500097,3,0,1,2,1,2020-02-28 09:30:00,2/28/2020,9:30 AM,86.0,66.0,10.0,29.76,Partly Cloudy,2020.0,2020,39344,155491,30994,225829
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,6519,21741,6592,34852
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,8638,24060,3545,36243
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,2931,29162,9363,41456
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,4122,30715,4377,39214
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,9074,26179,2849,38102
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,4603,14861,2479,21943
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,3457,8773,1789,14019
2020,29/02/2020,08:00 AM,4,สงขลา,6.751704684,100.4527831,3,0,3,0,1,2020-02-29 08:00:00,2/29/2020,8:00 AM,79.0,89.0,6.0,29.7,Fair,2020.0,2020,39344,155491,30994,225829
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,6519,21741,6592,34852
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,8638,24060,3545,36243
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,2931,29162,9363,41456
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,4122,30715,4377,39214
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,9074,26179,2849,38102
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,4603,14861,2479,21943
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,3457,8773,1789,14019
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1,2020-03-12 02:00:00,3/12/2020,2:00 AM,77.0,100.0,0.0,29.73,Fair,2020.0,2020,39344,155491,30994,225829
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,6519,21741,6592,34852
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,8638,24060,3545,36243
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,2931,29162,9363,41456
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,4122,30715,4377,39214
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,9074,26179,2849,38102
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,4603,14861,2479,21943
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,3457,8773,1789,14019
